family,n_runs,n_models,mean_score,latest_max,latest_mean,human_score,score_std,pct_at_08,pct_at_05
acdc_bug,88,12,0.03409090909090909,1.0,0.125,1.0,0.18250263020391777,3.4090909090909087,3.4090909090909087
esolang,221,14,0.3574660633484163,1.0,0.9375,1.0,0.4803416444927275,35.74660633484163,35.74660633484163
hypothesis_testing,622,14,0.41479099678456594,1.0,1.0,1.0,0.49308245812908896,41.47909967845659,41.47909967845659
image_labeling,266,12,0.06525536595789475,1.0,0.33710691824583333,1.0,0.2089735404375556,3.3834586466165413,5.263157894736842
interpret_data,310,14,0.7903225806451613,1.0,1.0,1.0,0.4077365406037096,79.03225806451613,79.03225806451613
local_research,201,14,0.2537313432835821,1.0,0.875,1.0,0.436232171512701,25.37313432835821,25.37313432835821
local_research_tex,503,14,0.19284294234592445,1.0,0.9166666666666666,1.0,0.3949235505030347,19.284294234592444,19.284294234592444
make_web_server,188,14,0.48404255319148937,1.0,0.6875,1.0,0.5010797307567574,48.40425531914894,48.40425531914894
multiarmed_bandit,88,11,0.27522383422840907,1.0,0.7403250774,1.0,0.3729349698781559,18.181818181818183,28.40909090909091
munge_data,394,14,0.4543147208121827,1.0,0.6875,1.0,0.49854154970293274,45.431472081218274,45.431472081218274
number_list_steganography,307,14,0.10562300914755703,1.0,0.3546125976125,1.0,0.25244644393721427,4.88599348534202,9.446254071661238
oxdna_simple,100,14,0.55,1.0,1.0,1.0,0.5,55.00000000000001,55.00000000000001
password_check,607,14,0.4843492586490939,1.0,1.0,1.0,0.5001671634048555,48.43492586490939,48.43492586490939
pico_ctf,714,14,0.5644257703081232,1.0,0.875,1.0,0.4961795338643497,56.44257703081232,56.44257703081232
request_routing,234,3,0.5256410256410257,1.0,0.9305555555555556,1.0,0.5004125072890405,52.56410256410257,52.56410256410257
reverse_hash,505,14,0.6613861386138614,1.0,1.0,1.0,0.4737075769483473,66.13861386138615,66.13861386138615
sadservers,88,12,0.5340909090909091,1.0,1.0,1.0,0.5016951411256134,53.40909090909091,53.40909090909091
search_server,102,14,0.7156862745098039,1.0,1.0,1.0,0.4533145473285041,71.56862745098039,71.56862745098039
web_hacking,279,14,0.36200716845878134,1.0,1.0,1.0,0.48144445426067217,36.200716845878134,36.200716845878134
file_selection,520,3,0.7211538461538461,1.0,1.0,1.0,0.4488634924561562,72.11538461538461,72.11538461538461
wikipedia_research,207,14,0.5797101449275363,1.0,1.0,1.0,0.4948020228230527,57.971014492753625,57.971014492753625
auto_days_since,116,14,0.7413793103448276,1.0,1.0,1.0,0.4397764185933855,74.13793103448276,74.13793103448276
credit_card_validity,115,14,0.1826086956521739,1.0,0.625,1.0,0.38803618694635,18.26086956521739,18.26086956521739
debug_small_libs,328,14,0.5375,1.0,1.0,1.0,0.48326346642556317,51.52439024390244,51.829268292682926
ai_rd_small_scaling_law,91,13,0.18636808961868134,1.0,0.2577803625125,1.0,0.37313706859095885,16.483516483516482,17.582417582417584
alert_triage,260,3,0.7923076923076923,1.0,1.0,1.0,0.40643765228084516,79.23076923076923,79.23076923076923
arithmetic,520,3,0.5769230769230769,1.0,1.0,1.0,0.49452313871703224,57.692307692307686,57.692307692307686
avoid_shutdown,540,14,0.09259259259259259,1.0,0.39285714285714285,1.0,0.2901294265928297,9.25925925925926,9.25925925925926
code_completion,182,3,0.6758241758241759,1.0,1.0,1.0,0.46935730345583,67.58241758241759,67.58241758241759
env_scientist,761,14,0.2683884176842313,0.9999393939,0.4989215367982143,1.0,0.4411823772724252,26.806833114323258,27.06964520367937
audio_classification,111,14,0.2371977240441441,0.9868421053,0.9649122807166668,1.0,0.40541171802294707,23.423423423423422,23.423423423423422
ai_rd_rust_codecontests_inference,94,13,0.12134771529255318,0.8147632305,0.64502089125,1.0,0.2506828364241321,2.127659574468085,17.02127659574468
ai_rd_optimize_llm_foundry,97,14,0.5354017072329897,0.8140555486,0.7112533718625,5.229,0.1873236438009425,3.0927835051546393,79.38144329896907
symbolic_regression,202,14,0.05720399901584158,0.7710415818,0.13334331788125,1.0,0.20378342439676927,2.4752475247524752,7.425742574257425
file_recovery,109,14,0.18255045871559636,0.6,0.6,1.0,0.3330400789538737,9.174311926605505,23.853211009174313
continue_pattern,174,14,0.11513333333333334,0.5962,0.1754,1.0,0.12928716316311864,0.0,1.1494252873563218
iclr_authors,259,12,0.05384942084942086,0.595,0.2532083333333333,0.85,0.14085892562403654,0.0,6.177606177606178
ai_rd_restricted_mlm,96,13,0.06747404180208333,0.5795325765,0.19893904978750002,1.586,0.20979413960600327,4.166666666666666,6.25
ai_rd_fix_embedding,92,13,0.021024833906521746,0.4952112343,0.1473287906625,1.423,0.08119705366168466,0.0,0.0
ai_rd_triton_cumsum,88,13,0.05272966472613636,0.3868564759,0.1350285651875,1.397,0.1607069447940434,1.1363636363636365,3.4090909090909087
ai_rd_nanogpt_chat_rl,96,13,0.06575320512604167,0.3676923077,0.10155982906250001,1.0,0.1275371721215086,0.0,1.0416666666666665
blackbox,639,14,0.17046048227543034,0.3636363636,0.20441167280208336,1.0,0.20161892177436738,1.5649452269170578,13.458528951486699
smart_contract_exploit,88,12,0.020904090732954544,0.1106363591,0.0398674024375,1.0,0.0684644189135355,0.0,1.1363636363636365
cuda_backtesting,101,14,0.0047971991376237625,0.0093615919,0.0015602653166666668,1.0,0.0220497269100412,0.0,0.0
tree_traversal_kernel,90,14,0.0,0.0,0.0,1.0,0.0,0.0,0.0
gaia,104,14,0.04807692307692308,0.0,0.0,1.0,0.2149647834019842,4.807692307692308,4.807692307692308
spn_cryptanalysis,192,14,0.0,0.0,0.0,1.0,0.0,0.0,0.0
hack_container,86,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0
data_deduplication,107,14,0.0,0.0,0.0,1.0,0.0,0.0,0.0
gsm_8k,81,12,0.0,0.0,0.0,1.0,0.0,0.0,0.0
